ID;find_path_problem;end_start_kombinace;nejlepsi_podil_ploch;pocet_pruseciku;zeleznice_delka;rozvodniceIII_delka;vodni_plohy_rozloha;relief_rozloha;zastavba_rozloha
520;0;6;2.85;17;14161.67;5386.41;655105.02;5877.75;1654068.01
521;6;16;1.16;20;2534.48;5043.44;63597.23;0.0;496387.72
522;0;21;1.46;15;951.04;4591.68;568531.89;277651.1;1945673.91
523;0;24;1.32;27;11534.7;4581.81;326930.12;0.0;1615603.76
524;16;80;22.49;6;139.79;5883.42;161898.91;0.0;552657.6
525;14;64;4.31;12;2021.22;833.28;105680.59;0.0;1317165.2
526;0;42;3.01;22;4341.39;5676.12;5783.34;0.0;377486.66
527;0;5;1.48;13;7690.84;5011.02;31745.5;0.0;144963.79
528;0;48;1.78;24;8533.36;1276.52;3642.67;0.0;1150847.11
529;23;136;2.01;16;5609.01;4738.19;17819.07;0.0;147308.57
530;0;36;2.48;17;2961.19;2741.02;38349.29;1.0;42718.96
531;5;12;181.15;3;3302.23;2529.37;467110.15;1.0;638894.78
532;0;28;4.77;15;12020.31;5125.06;76909.07;67606.24;1090960.61
533;9;28;18.79;13;622.43;6495.31;20670.25;1.0;398121.32
534;9;30;1.06;16;5463.72;2301.7;26668.6;13.99;361224.26
535;0;8;224.24;3;6260.61;6344.61;145562.41;2215.09;3666429.4
536;0;12;18.0;6;5108.12;293.08;33592.91;28632.53;2469522.53
537;0;24;1.54;18;14853.68;3664.61;732649.97;24962.01;1710522.8
538;0;0;0.0;0;9200.63;5544.43;13692.64;0.0;2482829.19
539;0;2;71.48;6;26874.66;1243.88;33348.09;0.0;7856200.45
540;0;2;17.27;11;9408.36;501.47;47836.77;0.0;4784362.09
541;0;3;6.69;14;6682.87;6705.04;28263.13;25158.18;1269170.87
542;0;2;36.05;8;2074.7;2276.07;611970.95;2344.15;1370348.18
543;9;28;1.65;15;5428.18;3612.44;59546.41;0.0;1392270.96
544;0;3;2.44;17;5982.61;6369.2;924992.72;0.0;4188349.36
545;0;8;1.87;19;2534.94;5784.23;366172.28;0.0;1153738.59
546;0;10;5.64;13;2329.65;8807.09;67300.53;0.0;833996.7
547;0;12;1.6;16;4456.29;4421.1;1406146.4;0.0;1011852.52
548;5;12;1.48;13;4174.63;4719.35;785243.76;0.0;222084.09
549;0;4;6.38;10;5911.78;4509.23;90909.69;3953.57;1289968.68
550;0;24;1.02;14;4771.83;9476.99;319077.52;7344.39;3309692.88
551;0;10;1.65;16;4003.35;5272.09;510654.74;65522.98;779938.64
552;0;0;0.0;0;4006.78;3667.98;181775.41;103668.41;539896.5
553;0;12;10.99;9;4013.58;4491.2;58016.83;0.0;1172588.26
554;0;8;242.75;3;1750.36;4501.01;34687.6;23343.27;1182996.99
555;0;25;2.58;26;439.69;5356.64;133512.03;0.0;797704.93
556;0;64;1.01;15;9968.68;12572.49;516808.59;131335.73;2001946.02
557;0;45;1.02;22;10932.91;6968.81;622506.12;0.0;2672536.58
558;0;49;1.68;23;5654.12;4856.25;115731.31;0.0;1069008.89
559;0;32;1.06;22;7048.08;5610.23;161776.78;0.0;2452941.98
560;0;6;222.95;3;8544.41;4492.08;7342.31;0.0;287067.52
561;0;8;30.81;6;5562.83;1006.97;24081.57;12998.29;926943.02
562;9;30;3.45;25;4814.26;6698.11;61287.84;0.0;680493.37
563;0;40;1.34;20;3104.0;3299.55;428358.68;0.0;478255.59
564;0;12;97.45;3;3156.6;7132.82;2001.39;0.0;692004.43
565;0;4;1.01;18;7541.78;88.13;616345.55;0.0;4545514.44
