ID;find_path_problem;end_start_kombinace;nejlepsi_podil_ploch;pocet_pruseciku;zeleznice_delka;rozvodniceIII_delka;vodni_plohy_rozloha;relief_rozloha;zastavba_rozloha
823;0;28;9.41;13;5307.28;9043.7;6070.72;454591.8;1477311.86
824;15;52;2.59;21;7367.22;1244.25;104048.89;77057.55;1873073.22
825;0;0;0.0;0;7796.72;6040.91;390142.76;73670.25;575385.09
826;17;70;1.35;18;5218.39;2688.21;28028.84;264841.45;1258859.71
827;0;64;6.36;10;35936.77;5575.41;472469.54;27763.87;4220317.3
828;0;3;138.94;3;4367.65;3250.17;42509.18;23684.65;1270078.53
829;9;30;40.54;8;4625.1;3663.7;11564.24;16366.54;413087.49
830;0;40;47.31;8;4626.32;4677.76;1984.26;20157.5;398455.63
831;13;54;4.62;15;6263.78;3802.66;101569.33;440720.36;971045.04
832;20;48;121.64;3;512.58;9401.53;15462.92;3813341.5;252938.98
833;0;12;1.32;21;4268.84;3781.55;60526.09;674762.84;2243743.84
834;15;66;1.18;18;22739.72;6818.67;626261.71;959662.08;2627775.21
835;90;180;147.66;3;3760.27;5072.05;212161.44;239264.27;953140.15
836;12;48;2.39;14;5202.98;5687.08;54696.6;153862.33;2062198.87
837;0;50;1.17;20;12630.53;4046.22;74044.14;304364.02;2033532.54
838;0;30;90.75;3;3937.42;3733.0;8992.52;279684.65;308386.92
839;0;15;188.84;5;2053.79;4656.35;6600.9;125331.01;571717.61
840;0;6;1.78;21;4251.63;3527.83;1306.1;123295.18;908650.35
841;0;42;26.02;9;10112.16;3733.57;53115.19;310389.59;160325.19
842;0;3;4.58;13;2943.91;3947.93;0.0;273823.6;19122.09
843;0;6;9.43;10;1700.36;2250.43;34439.2;59464.98;1457831.08
844;0;0;0.0;0;2762.56;4969.03;339631.34;972359.0;1916.72
845;0;0;0.0;0;4365.14;777.35;186234.82;1211453.14;71296.2
846;0;7;1.17;17;4243.35;6668.9;477563.56;815698.96;291880.09
847;16;65;2.69;20;6388.3;4177.44;244891.03;28854.58;1098221.52
848;0;72;8.15;14;4721.85;4967.25;27114.17;162767.92;1135074.41
849;39;70;1003.98;5;2471.27;3558.97;9476.45;653311.57;535455.86
850;0;0;0.0;0;5282.43;6352.44;262687.02;845.73;2285463.25
851;21;102;298.01;3;1871.04;6429.68;5866.05;11236401.64;82024.4
852;0;66;22.38;7;3347.72;5951.42;108735.23;8713681.03;2681.94
853;0;0;0.0;0;4339.3;2675.93;74134.4;4534543.43;644941.79
854;17;88;10.1;9;6155.47;8085.88;442814.06;23635.72;1713279.92
855;0;50;48.28;3;1763.58;5776.87;452048.23;2.0;587050.39
856;0;0;0.0;0;6046.46;4852.97;97242.83;46786.96;2725509.0
857;0;0;0.0;0;7686.64;6175.91;126418.22;222242.39;5158869.65
858;20;121;5.69;16;5817.78;4744.84;68883.12;673261.14;1326655.83
859;0;121;6.65;12;5148.42;3061.02;16632.09;597262.59;364543.7
860;19;110;7.79;10;10093.58;4789.22;93378.4;4612.94;985896.34
861;0;8;11.41;11;3902.35;4821.5;129179.78;1947323.52;404460.01
862;0;18;5.83;10;13503.82;594.7;9519.62;15463.34;791207.09
863;0;14;6.76;12;2760.53;6810.7;29701.13;0.0;892892.19
864;2;3;0.0;0;8681.38;6721.01;43656.55;1956.7;3102860.78
