ID;find_path_problem;end_start_kombinace;nejlepsi_podil_ploch;pocet_pruseciku;zeleznice_delka;rozvodniceIII_delka;vodni_plohy_rozloha;relief_rozloha;zastavba_rozloha
462;0;28;7.78;14;2190.63;2381.18;216796.25;1757.57;1798836.8
463;0;0;0.0;0;636.16;465.74;26960.26;0.0;1152618.0
464;0;12;9.33;12;0.0;2046.86;487514.63;41347.37;837245.84
465;0;12;1.7;18;7098.0;8108.99;682884.42;28352.52;1895763.05
466;0;20;1.42;16;5074.92;3163.66;582491.15;31421.26;1383372.36
467;14;55;1.26;15;31977.44;2255.65;760975.19;397015.97;6427258.81
468;0;7;3.03;15;17037.29;16793.61;461935.62;0.0;7961438.66
469;15;72;2.4;16;3788.18;9962.85;19762.41;0.0;1070429.18
470;0;20;5.01;15;1152.86;1543.92;213748.11;0.0;144189.1
471;0;28;1.06;23;4023.67;369.31;210788.63;0.0;885969.61
472;0;15;1.11;15;86.73;4192.28;67569.78;2324.79;1078258.38
473;0;15;18.05;6;6644.51;142.8;10795.39;2825.2;1659538.18
474;0;24;776.18;3;6157.46;2332.3;8802.61;6847.87;1236969.23
475;0;20;9.12;10;7071.67;5533.92;150621.31;0.0;1460081.68
476;0;3;12.89;8;2409.12;6068.3;334159.64;0.0;250327.57
477;0;30;2.66;17;947.59;1878.25;259219.28;0.0;573356.78
478;0;0;0.0;0;2081.55;3764.01;122844.72;38854.39;433898.82
479;0;30;20.18;6;4856.89;4490.33;24915.25;0.0;348402.7
480;0;15;1.58;14;3952.56;4400.64;3998.5;2856.94;791187.32
481;5;10;19.01;6;6520.33;4396.1;36504.32;355.46;914494.31
482;6;15;162393.99;3;485.25;5862.54;50648.1;16460.89;1316493.61
483;0;24;1.74;19;5529.85;583.76;1976.41;35354.37;958372.12
484;0;9;1.62;16;14284.6;4123.0;246020.88;0.0;5154734.41
485;0;2;18.79;7;8462.26;5032.49;68243.28;47267.92;7222407.02
486;0;3;2.58;16;18896.19;726.72;1069394.91;4210.31;10345497.37
487;0;12;1.54;19;11843.17;820.6;99434.17;4755.07;2861053.03
488;11;42;7.58;10;4048.81;5381.56;40785.25;0.0;2443488.34
489;0;9;1.48;15;4352.15;1437.15;3435.47;0.0;940477.9
490;22;54;3.57;15;5347.22;6324.46;174651.3;0.0;2337215.06
491;0;1;58.2;3;10110.85;374.14;35685.06;6821.86;1284007.83
