ID;find_path_problem;end_start_kombinace;nejlepsi_podil_ploch;pocet_pruseciku;zeleznice_delka;rozvodniceIII_delka;vodni_plohy_rozloha;relief_rozloha;zastavba_rozloha
865;0;21;25.31;6;5939.96;5780.22;81612.78;2.0;577428.05
866;0;56;5.84;16;10094.97;4670.16;125060.23;3600.33;1984917.78
867;0;0;0.0;0;3914.9;7720.91;69154.75;7846.06;3568431.76
868;9;18;879.28;5;340.38;5244.97;3525.51;3968.82;389847.55
869;0;48;1.01;22;3577.28;1553.57;12768.89;18947.05;547633.23
870;0;40;16.31;9;1079.65;1564.84;34155.45;0.0;518441.26
871;0;0;0.0;0;3386.93;5504.67;30637.78;3625.95;1495668.19
872;0;10;0.0;0;5022.59;5981.77;251070.75;13535.81;534737.16
873;0;0;0.0;0;5019.25;9075.87;152686.74;924828.83;1488387.67
874;0;0;0.0;0;5319.84;5991.45;113714.38;754517.4;1527402.42
875;0;0;0.0;0;8356.38;762.32;1557485.76;22941.92;328163.62
