ID;find_path_problem;end_start_kombinace;nejlepsi_podil_ploch;pocet_pruseciku;zeleznice_delka;rozvodniceIII_delka;vodni_plohy_rozloha;relief_rozloha;zastavba_rozloha
708;0;1;2.59;22;1999.57;2910.79;8211.87;4673.44;349774.66
709;0;1;1.22;25;6860.17;1200.16;75508.87;0.0;568142.98
710;6;16;5300.71;2;1881.43;534.09;126901.52;0.0;360864.29
711;0;9;3.08;18;4237.42;5458.45;490997.81;41271.13;1916988.32
712;0;2;1.67;15;9855.22;2440.8;1187440.25;0.0;3159568.27
713;0;0;0.0;0;3770.64;7877.59;12040.93;754787.83;1323713.34
714;0;0;0.0;0;5637.57;1746.32;15214.17;56469.61;649976.24
715;0;1;0.0;0;5238.02;5595.81;30248.69;95137.98;558364.81
