ID;find_path_problem;end_start_kombinace;nejlepsi_podil_ploch;pocet_pruseciku;zeleznice_delka;rozvodniceIII_delka;vodni_plohy_rozloha;relief_rozloha;zastavba_rozloha
658;0;3;25263.96;2;4629.96;5288.8;7311.58;0.0;955077.65
659;0;5;1.47;16;11513.27;1975.38;1325990.94;9913.64;3266120.15
660;0;4;11.47;7;9142.12;632.2;4395.86;1895.42;2750636.5
661;0;4;3.53;14;1367.08;5592.18;15184.47;3581.82;895995.38
662;0;2;315.79;3;2980.89;5650.0;61621.06;6000.63;884703.76
663;7;20;26.51;6;4337.07;5459.45;141474.11;0.0;767136.49
664;0;33;27.77;9;7086.05;4853.83;45639.47;0.0;1542951.37
665;0;20;8.51;10;1547.37;3433.13;19791.45;5176.39;725762.44
666;0;36;1.85;27;7908.71;11108.07;538834.43;670.39;3624194.05
667;0;162;2.82;15;4596.53;5060.15;131950.29;0.0;597332.29
668;0;105;9.06;13;2537.05;4085.05;560982.12;0.0;941364.4
669;0;0;0.0;0;8918.23;3761.04;40309.18;0.0;1806416.42
670;0;0;0.0;0;4010.03;2699.0;14814.66;0.0;105562.26
671;2;6;0.0;0;4222.31;5284.92;0.0;0.0;13905.58
672;0;0;0.0;0;6562.84;512.52;26480.55;4178.47;367009.17
673;0;0;0.0;0;2271.29;1745.55;35058.6;8896.43;338272.87
674;0;15;1.32;16;492.83;2205.25;10236.03;7.99;88049.83
675;0;30;12.46;9;4747.02;8576.22;59573.34;635.88;439937.18
676;0;9;24.21;6;15577.18;4863.69;527046.71;856697.25;7503006.23
677;4;9;23.1;9;6965.55;4740.89;925155.7;322186.18;8012371.74
678;0;4;1.9;19;13800.39;4569.2;458263.25;15943.13;881338.05
679;0;1;2.46;14;4221.8;2713.83;78551.6;4350.91;909823.05
680;0;9;8.63;12;630.32;774.0;219640.9;0.0;1244531.24
681;0;2;0.0;0;4725.19;7051.22;6150.67;0.0;750453.06
682;0;12;4.75;14;4672.56;2446.26;631505.65;0.0;616378.89
683;0;4;30.8;7;1510.86;2810.68;1349.7;117179.36;871340.31
684;0;0;0.0;0;2138.54;3946.64;7824.16;32240.61;600323.67
685;0;0;0.0;0;5273.32;3220.44;983.55;14627.25;450203.0
686;5;12;9.01;7;3411.18;93.42;51635.17;4.57;551708.57
687;5;12;2.42;25;11911.52;9349.2;249392.87;47852.91;3766994.2
688;0;6;2.04;14;6797.74;4221.05;51688.11;4094.24;1991342.38
689;0;21;5.05;14;2711.63;5394.5;319883.54;0.0;864262.87
690;0;8;1.14;17;8506.95;1919.07;51089.75;0.0;1313386.12
691;0;21;2.47;18;4901.55;4412.92;60910.68;463.08;601383.9
692;0;10;40.9;5;2557.69;4364.36;26221.85;0.0;1093905.68
693;0;16;5.05;14;4252.36;4627.46;68404.83;0.0;1387694.27
694;10;35;3.14;13;3005.93;3080.03;70452.18;0.0;1003540.85
695;0;8;1.16;21;3926.9;5268.66;641070.6;13635.79;2567011.07
696;22;44;1.01;25;5777.69;3526.72;4581831.45;0.0;1167092.1
697;0;12;18.8;9;5142.63;1062.36;43981.31;0.0;840297.99
698;0;18;27.22;9;866.74;4438.83;1077.91;38573.55;483371.53
699;0;66;2.26;14;5038.31;798.45;31155.58;8587.87;133478.93
700;0;78;1.94;19;3429.48;1176.27;80013.6;5.0;664286.79
701;0;70;6.85;15;4248.68;4610.28;164352.77;6631.37;198784.41
702;0;21;1.68;25;5244.95;4571.01;147194.98;18103.15;372979.65
703;0;10;15.0;6;1563.62;2537.49;37495.73;9168.41;174299.45
704;0;9;1.84;22;16479.58;11827.53;409171.88;0.0;7402942.42
705;0;2;170.81;3;2429.51;2077.84;27120.65;0.0;14507145.23
706;0;2;0.0;0;18152.3;1923.33;532767.7;65313.92;2894486.83
707;0;1;56.51;5;4366.11;5171.89;7655.15;2.0;83251.81
