ID;find_path_problem;end_start_kombinace;nejlepsi_podil_ploch;pocet_pruseciku;zeleznice_delka;rozvodniceIII_delka;vodni_plohy_rozloha;relief_rozloha;zastavba_rozloha
741;0;12;1.05;18;3437.65;29.97;31591.95;0.0;1224401.74
742;0;40;11.12;10;3978.28;5281.22;242905.74;825531.81;906132.48
743;0;54;5.18;20;5321.03;4073.09;103925.37;4254.49;1021540.1
744;0;0;0.0;0;5939.05;4698.45;70356.63;0.0;1812484.21
745;0;5;1.06;21;1166.56;25.5;3362.41;253962.58;677891.89
746;0;18;6.6;9;4635.37;4329.26;11651.05;1.37;656103.57
747;0;2;119.41;3;4285.34;4300.88;102654.23;0.0;884998.33
748;0;77;3.07;14;6215.48;3184.34;59699.14;56598.04;1740077.37
749;0;377;3.63;13;3383.54;12770.24;586675.38;0.0;0.0
750;0;50;4.57;10;7121.21;6417.67;125445.73;22.98;194511.01
751;0;12;4.08;11;2157.53;5919.82;67410.56;0.0;436236.77
752;0;4;38.18;6;10183.5;6316.03;254667.15;1659.37;1185197.09
753;0;2;1.55;24;2644.22;7112.53;318770.79;1531.89;2895338.93
754;0;3;1.06;17;1346.03;3123.09;999463.64;51700.42;1336248.58
755;0;0;0.0;0;2457.07;4768.03;1411.31;284012.73;449158.15
756;0;0;0.0;0;4507.43;6087.93;1401.63;54049.61;212247.26
757;0;0;0.0;0;5925.0;10609.11;19410.44;0.0;684711.5
758;11;42;7.47;14;6710.05;5304.02;6906.68;0.0;823128.24
759;10;35;5.97;14;11000.16;4216.39;21468.32;0.0;588488.34
760;7;18;1.67;16;3332.8;2496.48;25864.6;3945.76;2528186.06
761;0;14;99.99;5;2765.32;8891.33;13650.34;0.0;561525.21
762;0;36;1.21;14;4118.42;3696.4;5108.63;0.0;549690.46
763;0;18;5.11;10;2866.99;354.19;3266.93;3408.71;217185.57
764;0;21;5.32;12;5467.69;2339.27;23969.23;30137.06;2095951.66
765;0;0;0.0;0;8509.15;4918.58;14048.43;142217.42;239129.99
766;0;5;5.51;12;10393.87;3328.96;586484.89;3295.39;4496167.29
767;0;9;3.91;14;10121.09;4285.92;813812.04;15058.7;2827334.26
768;12;45;1.95;15;349.83;204.8;37886.75;7488.9;756588.63
769;0;20;58.58;5;1123.24;5166.66;20035.58;0.0;2218726.32
770;0;48;12.47;6;2940.12;4584.89;38445.53;0.0;982249.48
771;0;6;1480.42;3;5254.0;1849.16;42223.74;0.0;1684798.99
772;0;6;25.17;6;973.86;4898.46;126987.85;70364.71;873498.39
773;0;15;142.78;3;2149.57;1166.64;63934.81;13349.92;1059984.44
774;0;0;0.0;0;4741.52;4514.1;2712.65;5842.31;846507.57
775;0;0;0.0;0;6170.87;5842.18;941.84;8124.47;845059.38
776;0;35;41.97;7;7597.15;42.69;63519.09;0.0;1125871.39
777;0;21;24.02;6;3511.88;6854.82;12323.5;2211.05;873069.52
778;10;35;19.96;8;3744.0;5718.56;76983.95;0.0;1203023.71
779;0;16;2.01;19;10171.95;1863.28;102412.18;5619.89;4033014.81
780;0;0;0.0;0;2334.81;8356.26;10779.16;150575.21;737198.57
781;0;12;1.86;19;5668.96;1429.55;892.94;1603684.11;766003.39
782;14;48;11.53;13;6243.06;1735.75;38756.63;1200431.88;637734.03
783;0;14;1.03;16;2806.57;538.66;191973.83;216150.82;1828830.07
784;0;30;9.68;11;2405.55;4296.18;35263.0;6.99;653152.51
785;0;12;2.89;28;12640.96;1127.71;1181045.32;169959.96;2364695.42
786;0;40;1.85;18;3058.83;965.17;44742.42;1034.1;632576.48
787;7;20;51.3;6;6131.17;5221.2;17158.46;67949.93;610526.03
788;0;25;4.18;12;3511.49;4489.23;77145.85;51862.77;1989708.61
789;0;14;3.43;15;4689.41;5465.49;64101.49;2718.43;1690356.09
790;11;42;2.32;15;2510.74;631.16;52390.89;0.0;1985805.46
791;10;35;3.63;17;2035.44;5637.7;60797.21;0.0;1137564.73
792;0;24;1.37;17;3978.57;2545.32;64023.85;3041.8;1371923.54
793;0;2;7.14;10;5310.96;3273.42;3438.18;201034.27;244120.33
794;48;96;8.34;12;6801.32;1003.62;6240.11;3585390.6;250344.38
795;0;40;12.66;10;3368.03;5391.17;15767.22;0.0;438914.98
796;0;27;1.2;20;7153.38;512.76;102403.11;0.0;1084769.61
797;0;6;42.35;3;266.34;3587.01;5592.88;180031.99;121782.01
798;0;6;1.04;18;31732.07;9250.61;935122.63;81332.64;4926687.05
799;0;12;53.07;6;6599.91;1567.3;168629.29;12198.26;993651.51
800;28;72;1.46;24;7290.83;5052.42;139877.54;78767.69;666394.39
801;0;15;2.9;13;2039.19;2167.12;7335.17;17159.46;694021.06
802;0;14;3.13;20;3893.4;2067.02;897.58;0.0;505850.99
803;4;8;388.33;3;4643.03;1789.3;87484.65;9395.56;320603.97
804;16;36;2.55;14;3598.84;457.89;13031.26;0.0;695815.48
805;0;121;13.0;7;4183.71;5378.45;3516.87;5241.62;311433.82
806;0;4;24.3;6;3411.6;3332.17;187861.93;96557.32;331218.03
807;0;21;31.63;9;2237.23;4208.75;2159.65;16688.21;920569.74
808;0;27;1.06;18;9578.55;134.13;11865.02;3251.53;1373999.1
809;0;9;12.36;7;0.0;342.78;285.31;1.0;1894214.09
810;14;64;18.86;12;4707.87;6403.2;71981.84;92912.75;1358988.29
811;0;10;100.88;8;8496.17;4669.54;9313.5;5745.47;262269.49
812;0;0;0.0;0;4906.75;151.84;59811.58;20391.09;568099.8
813;14;60;2.79;20;4270.47;9853.3;65583.32;6174.97;73581.76
