ID;find_path_problem;end_start_kombinace;nejlepsi_podil_ploch;pocet_pruseciku;zeleznice_delka;rozvodniceIII_delka;vodni_plohy_rozloha;relief_rozloha;zastavba_rozloha
513;0;5;0.0;0;11577.54;4584.51;244621.3;121.01;3806412.41
514;0;2;5506.9;2;5241.48;9224.35;117104.88;9639.84;3789820.89
515;0;5;956.18;3;549.03;3523.01;25747.37;0.0;3382992.06
516;0;2;5.83;9;4853.12;5530.33;35305.61;0.0;1138363.43
517;0;6;1.82;17;8470.65;4481.13;53913.96;5752.71;1194939.92
518;0;12;16.51;9;9686.68;3150.38;131406.12;0.0;350765.64
519;0;1;45.03;5;4236.84;9229.26;195690.85;0.0;654921.68
