ID;find_path_problem;end_start_kombinace;nejlepsi_podil_ploch;pocet_pruseciku;zeleznice_delka;rozvodniceIII_delka;vodni_plohy_rozloha;relief_rozloha;zastavba_rozloha
716;0;1;10.42;7;7471.56;3260.5;15037.96;50668.04;1055585.76
717;0;0;0.0;0;5084.9;6236.84;1802.44;4315.49;609037.42
718;0;16;400.68;5;0.0;5216.47;20413.86;0.0;435587.88
719;0;0;0.0;0;4331.9;7518.69;69551.12;6.99;1205801.26
720;0;12;1.24;25;5869.66;303.96;161484.37;74453.18;5789905.92
721;24;60;69.49;3;5087.7;2559.46;45174.47;0.0;1107590.9
722;0;25;374.52;3;1112.38;5828.01;173961.76;4284.44;2167850.57
723;0;16;38.34;6;2896.9;5192.97;30326.02;0.0;267813.84
724;0;0;0.0;0;3402.11;8178.72;77012.19;0.0;502605.58
725;0;0;0.0;0;7167.5;4545.31;8570.38;197706.87;1723451.79
726;0;2;23.41;8;930.39;5940.92;41060.04;65346.08;296944.67
727;9;30;40.14;6;6325.26;6606.7;14411.43;54301.15;468109.81
728;0;96;2437.49;2;6456.61;6752.86;957455.97;1329.82;3699.45
729;0;250;3.72;14;1560.71;570.56;191087.4;15302.83;246280.12
730;0;18;1.16;26;6586.76;11246.5;63972.26;22.98;574584.98
731;0;18;1.01;21;38861.9;17385.29;192288.35;14807.7;4918297.04
732;0;15;2.83;14;16190.83;4941.45;1208007.09;126861.4;6078058.19
733;0;0;0.0;0;3216.97;6800.21;34563.74;1270.5;741447.19
734;0;12;3.04;13;986.58;4003.78;19823.44;768.77;916463.82
735;5;10;61.09;3;4980.34;2638.49;26027.67;0.0;1475477.2
736;0;20;1.31;16;6401.78;4484.97;8038.53;1.0;1361507.18
737;0;6;6.75;12;5876.59;3036.06;5374.39;95323.2;1846237.28
738;0;5;2.93;19;5183.04;5680.49;281096.65;0.0;1405525.68
739;0;1;2.05;13;5078.75;1308.08;808480.25;2226.29;1287098.08
740;0;0;0.0;0;1449.73;1497.74;3310.49;0.0;399347.34
