ID;find_path_problem;end_start_kombinace;nejlepsi_podil_ploch;pocet_pruseciku;zeleznice_delka;rozvodniceIII_delka;vodni_plohy_rozloha;relief_rozloha;zastavba_rozloha
85;0;66;105004.71;3;2386.58;6048.51;1008718.58;2.0;137341.15
86;0;20;6.99;12;3880.82;4152.91;233711.94;0.0;1162444.4
87;0;12;1.14;15;5634.87;1265.05;30095.69;1223.63;899703.11
88;0;14;7.5;12;9642.58;3700.45;432816.89;32504.79;1202377.91
89;0;0;0.0;0;508.48;2932.39;10037.0;4935.77;257329.86
90;0;20;6.84;14;6788.53;18.85;31959.66;5043.89;527018.77
91;0;91;13.09;9;4678.37;1576.11;175058.0;110830.61;94679.85
92;0;6;2.85;21;4176.82;6168.79;192282.22;0.0;1526750.12
93;0;20;2.76;15;2532.99;150.88;13430.29;750.07;556106.57
94;0;9;18.14;6;4316.06;473.11;41895.36;3237.76;695233.73
95;0;2;4.72;13;2877.88;3384.55;11767.29;1051.94;934007.79
96;7;20;1.03;38;4590.66;4055.5;112406.11;59796.2;1795137.61
97;0;3;24.0;7;2991.63;5801.86;26720.42;5385.25;247836.7
98;0;25;1.08;18;3318.18;1081.48;142488.84;4095.76;2010567.81
99;0;16;1.59;16;3984.54;4737.63;488031.27;26533.04;1226004.91
100;0;9;1.21;17;10265.62;3177.75;82225.02;18746.84;3482263.52
101;0;6;3.32;22;3644.27;1197.28;43543.01;5388.22;486618.51
102;0;6;1.35;14;1263.59;5250.71;248544.91;0.0;1080774.44
103;0;16;113949.59;3;4958.82;6776.97;1160167.38;9105.12;283115.83
104;0;16;1.8;22;8915.77;2610.66;2891783.12;4959.78;598094.64
105;0;8;9.84;10;78.84;5069.87;13226.9;0.0;231086.5
106;0;2;64.74;6;7496.27;194.48;256467.07;2706.61;1114525.9
107;16;72;4.75;13;6159.66;5151.27;94881.48;0.0;733259.64
108;0;8;1.62;18;1492.42;4674.94;676900.61;38200.0;1414639.63
109;10;36;1.98;18;1052.67;8484.47;181559.89;4025.79;1212096.93
110;10;27;1.01;22;8635.55;11994.53;267575.18;38321.37;2777738.13
111;26;72;61.59;9;8329.75;4731.49;37410.38;17091.22;1179836.8
112;0;4;10.04;9;199.08;1533.96;516.93;0.0;1157166.73
113;0;30;3.07;15;4441.83;272.74;794.15;0.0;68985.02
114;0;36;41.09;3;5155.03;5402.54;126974.43;6832.58;639961.68
115;10;35;3.24;12;3510.59;1676.16;46115.26;0.0;795234.57
116;0;0;0.0;0;6395.15;3072.82;53952.77;129632.39;754061.98
117;0;4;21.35;6;974.74;789.71;3097.08;19.67;337077.89
118;0;49;14.18;10;3652.13;7383.7;53466.33;13358.89;620101.25
119;0;42;1.12;23;1113.04;5945.74;909174.31;27965.4;443174.56
120;23;126;1.04;20;4320.3;2576.11;1583848.88;933.78;593367.2
121;15;70;2.31;17;4969.32;704.82;459485.53;22070.81;650547.07
122;0;80;1.2;20;6274.86;729.52;1726457.05;1745.56;416551.4
123;8;16;1.4;27;1483.57;179.03;141166.24;65015.5;1874584.04
124;10;35;359.23;3;3605.18;2302.9;12433.43;0.0;151827.01
125;8;24;11.54;13;8693.52;1839.84;159122.96;0.0;4080463.27
126;0;6;7.98;11;2713.79;875.3;1765.7;0.0;293469.28
