ID;find_path_problem;end_start_kombinace;nejlepsi_podil_ploch;pocet_pruseciku;zeleznice_delka;rozvodniceIII_delka;vodni_plohy_rozloha;relief_rozloha;zastavba_rozloha
814;11;40;41.3;8;340.16;7954.02;211048.04;6835.31;149743.75
815;0;45;1.03;24;4458.06;496.21;310588.28;0.0;1084017.4
816;0;12;71.2;6;372.48;7478.83;17825.48;28055.48;656441.29
817;0;24;10.2;12;3656.07;4997.87;202707.27;49397.1;553082.61
818;0;56;1.14;21;1662.19;535.06;18087.07;20505.31;428008.58
819;0;7;3264.51;5;1593.9;5392.95;638.53;44415.72;1163097.35
820;16;72;2.1;15;7192.11;1585.34;73397.79;91112.68;3046972.54
821;0;42;1.45;22;11078.71;4601.42;41789.05;35209.11;1875477.87
822;0;36;1.07;20;6586.46;4713.08;314252.63;115960.76;5924008.83
