id,ZIV20_pocet,ZIV20_1,ZIV20_2,ZIV20_3,ZIV20_4,ZIV20_5,ZIV20_6,ZIV20_7,ZIV20_8,ZIV20_9,ZIV20_10,ZIV20_11,ZIV20_12,ZIV20_13,ZIV20_14,ZIV20_15,ZIV20_16
595,8,0,1,2,2,1,2,1,2,1,2,3,3,1,1,1,2
596,40,8,6,8,4,11,8,11,3,12,4,13,7,11,12,14,6
597,47,11,19,7,7,4,15,16,11,9,10,16,21,8,10,4,13
598,31,9,10,9,6,9,5,4,4,8,3,5,5,5,6,5,6
599,24,3,2,5,7,3,3,4,4,6,6,5,6,6,6,8,9
600,8,1,1,2,2,1,2,2,1,3,3,2,2,2,1,0,2
601,19,2,1,4,4,1,3,5,4,4,3,4,5,4,2,5,8
602,14,3,4,5,2,4,1,3,3,4,2,3,4,4,3,3,4
603,15,3,3,3,4,3,3,1,3,2,3,5,2,2,2,5,2
604,23,7,7,9,6,4,4,9,11,2,4,6,5,2,1,3,3
605,6,3,1,2,2,0,1,0,1,0,1,0,0,0,1,1,1
606,5,2,2,1,1,1,1,1,1,0,1,1,1,2,2,2,0
607,5,2,2,1,0,2,1,2,2,1,1,2,1,1,1,1,1
608,3,1,0,0,0,1,1,0,0,1,1,1,0,1,1,2,0
609,6,2,1,1,2,2,2,2,2,0,0,0,0,1,2,2,2
610,5,1,0,2,0,1,0,1,0,1,0,1,1,2,1,0,1
611,19,8,10,8,7,8,9,6,3,5,5,2,1,4,2,2,2
612,19,3,2,3,2,7,5,5,4,6,8,5,6,3,3,2,4
613,11,1,2,2,3,2,3,3,3,4,3,3,2,2,3,4,4
614,13,1,2,2,2,5,4,2,4,3,2,3,4,4,1,4,4
615,11,1,3,6,6,3,3,2,5,3,1,1,3,3,2,2,4
616,9,2,2,1,3,2,2,2,3,2,2,3,3,0,3,2,1
617,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
618,8,2,2,0,1,2,1,1,1,1,1,2,0,1,2,4,2
