id,ZIV10_pocet,ZIV10_1,ZIV10_2,ZIV10_3,ZIV10_4,ZIV10_5,ZIV10_6,ZIV10_7,ZIV10_8,ZIV10_9,ZIV10_10,ZIV10_11,ZIV10_12,ZIV10_13,ZIV10_14,ZIV10_15,ZIV10_16
1,31,6,8,8,5,4,2,4,11,2,5,12,10,6,9,13,10
2,43,13,9,8,6,19,9,8,3,10,11,13,6,8,7,7,5
3,28,13,5,7,4,11,4,6,5,14,8,4,6,12,5,3,4
4,4,1,1,0,0,0,1,1,1,1,1,1,1,1,1,2,1
5,31,12,9,6,1,12,7,9,3,9,3,9,5,9,6,8,7
6,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1
7,2,0,0,0,0,0,1,1,0,0,2,2,0,0,2,2,0
8,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
9,3,0,0,1,2,0,0,1,2,0,0,0,1,0,0,0,1
10,47,23,24,18,12,12,10,9,5,7,13,8,4,14,9,4,3
11,27,10,3,3,3,4,3,3,2,4,4,3,8,2,8,6,7
12,28,5,5,9,5,10,7,14,13,10,12,14,4,7,7,6,2
13,14,5,5,1,2,8,2,1,3,1,2,3,3,2,3,1,1
14,11,3,2,1,2,3,1,1,2,1,1,1,2,1,2,2,1
15,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
16,8,1,3,2,3,2,3,2,2,2,3,3,2,0,1,4,4
17,31,14,14,9,2,18,15,14,3,3,10,15,3,2,17,14,1
18,24,8,9,5,5,4,6,3,1,6,6,3,1,6,6,2,2
19,23,7,12,4,3,2,5,6,10,1,2,7,8,2,6,8,7
20,10,1,6,6,3,2,2,1,1,3,2,1,0,1,1,1,0
21,8,3,2,1,1,2,2,2,1,1,2,2,0,1,1,1,1
22,5,2,2,1,1,1,1,1,1,0,0,0,1,1,0,1,1
23,10,4,3,2,2,3,1,2,3,1,0,2,3,1,1,2,3
24,4,0,0,1,1,0,1,1,0,1,0,1,1,2,3,3,1
25,6,1,0,0,0,2,1,1,1,1,1,1,1,1,0,0,2
26,7,0,0,1,1,2,2,1,0,1,0,1,1,2,2,3,3
27,5,2,2,2,2,0,1,1,1,1,3,3,3,4,3,0,1
28,3,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0
29,6,1,0,0,2,1,1,1,2,0,0,1,4,0,0,1,4
