id,ZIV10_pocet,ZIV10_1,ZIV10_2,ZIV10_3,ZIV10_4,ZIV10_5,ZIV10_6,ZIV10_7,ZIV10_8,ZIV10_9,ZIV10_10,ZIV10_11,ZIV10_12,ZIV10_13,ZIV10_14,ZIV10_15,ZIV10_16
30,15,4,5,1,1,4,2,0,1,4,1,1,1,5,2,1,1
31,13,1,1,1,3,1,1,3,3,1,1,3,1,5,4,3,4
32,24,2,2,2,1,2,4,6,6,3,7,6,5,11,8,7,7
33,6,0,1,2,3,1,1,3,4,1,1,1,3,1,1,1,2
34,49,10,18,23,14,7,8,11,13,9,8,9,11,10,4,3,2
35,47,6,20,8,2,21,21,5,4,11,3,5,6,5,4,8,12
36,15,2,2,1,2,3,1,3,3,3,2,3,2,7,4,4,2
37,29,4,8,17,15,1,5,8,10,2,5,9,8,2,3,6,4
38,8,2,1,1,2,2,1,3,4,0,2,2,2,1,2,2,2
39,5,3,3,2,1,3,2,2,1,2,3,1,0,2,1,0,0
40,8,0,1,3,3,0,2,3,2,0,2,2,2,1,2,4,2
41,12,5,1,3,2,2,2,3,2,1,2,1,1,1,2,2,2
42,20,5,6,6,7,3,7,6,5,7,10,8,5,5,4,4,2
43,11,8,6,3,4,3,4,4,2,0,1,1,1,0,1,2,2
44,8,1,1,1,1,0,0,0,1,0,0,0,1,1,1,3,5
45,13,1,0,0,3,2,1,0,5,2,1,0,5,4,3,1,3
46,28,4,0,1,2,4,2,2,5,7,6,6,5,7,6,7,7
47,6,2,2,0,2,2,1,1,1,2,1,1,0,3,2,1,0
48,3,1,1,1,1,1,1,1,0,2,2,1,0,0,1,2,2
49,12,2,2,2,11,0,0,0,4,0,0,0,1,0,0,0,1
50,68,21,17,15,18,8,5,18,14,15,10,19,21,14,6,15,14
51,25,6,5,2,2,3,5,4,3,10,11,9,1,9,13,11,5
52,20,2,9,8,3,5,6,5,4,2,6,6,5,3,7,3,7
53,10,2,3,2,2,2,3,2,5,2,4,4,3,1,3,2,1
54,11,2,2,3,2,4,3,3,3,3,3,2,4,2,2,2,2
55,10,1,2,4,3,1,2,3,2,2,3,2,3,4,3,2,2
56,13,1,2,4,4,3,3,2,3,4,4,3,1,3,3,3,1
57,13,3,4,4,4,3,2,2,3,5,5,2,2,2,4,5,1
58,4,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1
59,6,1,1,1,2,2,3,2,3,2,2,2,2,1,1,1,2
60,58,5,6,15,30,8,6,16,25,13,10,15,16,12,10,13,6
61,33,2,3,5,2,8,13,13,2,16,12,12,4,23,15,10,10
62,41,1,8,14,5,7,8,17,9,11,9,12,8,10,7,11,6
63,35,3,5,5,4,4,5,4,14,5,6,14,18,10,9,12,16
64,29,4,3,3,3,14,2,2,3,18,5,3,7,12,2,4,7
65,16,5,7,4,3,6,6,6,4,5,5,5,3,2,1,1,1
66,16,5,5,5,1,3,2,8,7,6,4,5,4,5,5,3,4
67,14,3,1,3,2,2,3,3,3,3,1,3,3,4,4,4,1
68,8,1,3,2,1,3,4,3,4,5,3,2,2,5,2,2,2
69,50,10,7,5,7,10,8,3,10,12,9,8,11,16,12,16,18
70,5,2,2,1,0,2,2,1,1,4,1,0,1,4,0,0,1
71,30,6,5,5,5,3,5,6,20,3,4,11,19,1,2,9,10
72,4,2,1,2,2,2,2,2,1,1,1,1,0,0,0,0,0
73,12,4,5,4,5,4,5,5,3,1,1,3,2,2,1,2,2
74,16,7,5,1,1,4,4,2,1,5,5,2,2,3,5,5,2
75,11,1,0,2,1,2,3,2,2,3,4,3,6,3,2,2,1
76,19,3,3,4,7,12,9,6,6,12,12,8,5,3,3,5,4
77,63,23,19,10,18,18,10,15,11,12,4,20,16,14,10,22,8
78,5,1,2,2,0,1,2,2,0,0,1,2,1,0,1,1,2
79,20,3,3,4,5,5,7,7,6,8,5,3,6,6,8,8,5
80,12,4,2,0,2,5,2,1,1,6,3,2,3,6,8,1,1
81,7,1,0,1,3,1,0,0,3,1,0,2,3,1,0,3,2
82,6,1,2,1,1,0,2,1,0,0,2,1,1,1,2,0,1
83,10,0,1,1,2,0,1,1,1,0,1,2,4,1,1,7,6
84,43,15,14,14,18,10,14,4,6,9,6,12,13,8,9,13,13
85,16,3,3,4,4,4,3,4,2,3,2,4,3,2,3,4,3
86,11,3,2,3,1,4,1,2,3,2,4,4,3,2,2,3,3
87,9,1,1,1,2,3,2,2,2,3,3,3,1,3,4,2,2
88,24,2,2,7,5,4,2,5,8,7,2,5,9,7,5,7,9
89,17,2,3,5,2,5,3,5,2,5,1,5,4,7,6,5,7
90,23,5,2,5,4,5,7,4,2,9,7,1,3,10,8,6,4
91,18,1,1,3,4,4,3,2,2,4,6,4,2,6,9,7,3
92,13,5,2,2,3,5,3,1,2,4,4,1,1,4,4,2,3
93,23,5,4,5,5,3,2,2,5,6,5,4,4,4,4,4,4
94,16,5,3,3,2,5,2,3,3,4,3,2,2,4,2,5,5
95,18,3,6,6,4,5,5,4,4,6,3,2,3,3,3,3,6
96,42,13,12,4,6,15,15,6,3,10,19,18,18,5,8,6,11
97,50,6,9,9,8,6,5,3,8,13,8,5,8,17,15,7,15
98,18,6,3,1,0,11,4,1,1,11,5,1,1,15,6,2,2
99,2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0
100,24,3,5,4,5,4,4,6,8,3,2,2,7,1,5,6,9
101,39,13,7,13,12,10,10,5,14,11,20,17,15,9,9,8,5
102,17,8,2,6,2,6,5,5,2,3,5,2,2,5,3,1,3
103,4,2,1,1,2,2,2,1,1,0,2,1,0,2,2,0,0
104,8,2,2,1,2,1,2,2,0,0,1,0,1,0,1,0,1
105,26,7,6,6,4,3,4,1,4,10,10,5,1,8,8,7,3
106,9,2,3,4,2,5,4,3,1,2,4,2,2,3,4,3,3
107,22,6,6,6,10,6,6,7,7,3,5,6,7,4,6,5,7
108,35,2,4,4,4,13,12,11,6,23,21,21,15,22,6,5,11
109,26,10,8,6,5,10,7,13,11,8,1,2,5,7,6,3,6
110,40,6,9,9,14,7,5,11,18,4,6,15,12,7,3,13,7
111,44,8,8,12,8,17,14,11,8,16,8,7,8,17,12,8,7
112,29,12,9,5,4,12,7,3,2,7,6,3,5,4,4,5,6
113,40,5,5,11,9,3,8,15,6,1,9,17,10,8,13,15,10
114,36,15,8,4,8,12,6,3,6,5,6,4,5,6,5,5,8
115,39,8,9,13,8,5,9,7,8,7,15,10,11,3,7,10,19
116,66,15,23,14,12,17,13,13,17,17,12,6,9,11,11,14,7
117,56,9,19,22,12,17,23,24,25,18,15,6,19,11,20,14,22
118,31,9,3,2,4,12,7,4,3,15,14,9,5,6,8,5,5
119,10,2,1,2,1,2,1,2,1,2,1,2,1,2,3,4,2
120,5,1,0,0,2,1,0,0,2,1,0,1,1,1,0,1,1
121,20,3,2,3,4,4,2,4,4,5,11,14,15,5,7,5,6
122,21,2,4,2,5,3,6,6,10,8,13,9,10,6,10,5,3
123,41,7,7,6,8,6,10,11,8,6,14,10,7,7,14,9,4
124,32,14,8,8,6,5,4,8,6,6,5,5,9,3,2,8,9
125,15,5,5,2,0,9,5,2,0,7,6,2,1,3,6,1,1
126,31,14,5,9,6,12,7,6,5,6,5,8,6,8,6,6,7
127,42,7,9,5,11,4,12,16,15,6,11,13,11,7,10,13,10
128,74,15,15,20,10,19,18,20,12,24,28,22,15,25,24,19,14
129,29,10,10,8,4,11,6,10,4,7,5,10,6,5,4,5,5
130,13,1,1,4,3,0,3,6,3,3,5,3,0,4,3,3,3
131,18,3,5,7,6,4,2,5,3,4,3,4,4,5,8,8,8
132,4,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1
133,4,1,1,1,1,1,1,1,1,1,1,2,2,0,1,3,3
134,7,2,2,1,1,3,3,3,2,3,2,2,1,3,2,4,2
135,26,5,3,4,7,7,4,6,6,3,5,7,5,4,6,5,11
136,17,2,7,6,2,3,6,6,3,1,2,3,4,6,8,7,5
137,24,9,9,3,2,7,7,1,4,5,3,3,4,2,3,3,2
138,20,9,3,5,3,3,3,4,5,3,2,4,4,3,4,6,7
139,28,7,9,6,5,7,8,3,4,5,2,2,5,4,6,5,8
140,25,7,6,3,7,4,5,3,7,4,8,4,13,9,10,5,6
141,27,7,6,1,2,5,4,2,2,5,6,2,2,8,8,5,5
142,31,5,7,4,7,6,9,6,7,3,4,7,7,13,12,14,9
143,15,1,4,1,0,2,4,1,0,5,4,1,0,8,6,0,0
144,9,0,3,1,1,0,3,1,1,2,4,0,2,4,3,1,5
145,25,11,10,9,7,5,8,9,9,8,5,2,3,8,5,4,5
146,28,1,4,4,5,4,4,4,6,6,8,9,9,7,8,5,7
147,124,34,26,30,25,25,22,38,22,25,27,35,25,17,21,29,28
148,36,5,4,6,7,6,7,6,9,10,10,7,7,8,9,9,5
149,23,4,5,3,1,5,6,6,7,5,7,3,2,5,8,4,4
150,7,2,2,1,1,2,2,2,2,2,2,1,3,1,2,1,4
151,8,1,1,2,3,0,2,2,3,1,2,1,1,1,4,2,1
152,11,3,4,3,2,4,3,1,2,2,2,1,2,2,2,1,2
153,13,3,4,4,4,1,5,2,4,5,5,2,4,7,7,6,4
154,20,1,7,9,12,2,5,5,7,8,6,4,1,7,2,3,2
155,24,2,9,8,5,6,9,7,4,8,7,4,3,9,8,3,1
156,9,3,2,2,1,3,3,2,3,3,2,2,3,1,1,2,1
157,25,5,3,3,4,6,4,4,3,10,3,4,1,8,13,8,1
158,21,7,7,4,1,9,4,3,0,6,4,5,4,2,3,4,5
159,29,3,3,5,6,2,7,8,7,4,7,6,8,9,9,10,6
160,36,12,7,14,12,12,7,10,6,9,11,12,6,10,13,8,11
161,26,9,9,7,8,10,9,4,2,5,4,3,2,4,3,3,5
162,23,3,3,4,7,3,5,13,13,3,5,13,11,3,2,5,9
163,11,3,3,4,5,2,3,3,5,1,2,2,1,0,1,2,2
164,16,1,6,4,2,6,7,6,5,1,7,5,3,1,5,4,2
165,25,1,6,10,5,2,2,6,6,4,3,2,2,6,4,4,2
166,25,6,5,4,5,2,5,3,10,2,6,6,8,6,6,3,10
167,10,5,5,1,1,2,4,1,3,1,3,1,1,1,2,1,1
168,17,2,3,3,3,4,4,5,3,2,3,4,3,2,3,5,6
169,25,3,5,6,2,6,9,6,5,8,11,6,5,9,11,8,5
170,50,6,10,23,8,10,14,31,17,7,11,16,13,8,7,12,11
171,18,5,4,2,2,5,5,2,4,9,6,2,3,9,2,2,3
172,24,8,9,9,10,7,6,9,11,4,5,3,0,5,4,3,2
173,8,0,2,1,2,0,2,1,2,1,2,4,3,3,2,3,3
174,74,14,7,12,11,14,11,15,20,8,11,11,22,7,19,17,10
175,79,14,16,7,20,23,13,5,9,22,16,5,10,18,21,10,9
176,24,3,2,3,3,2,2,9,7,3,3,9,4,5,4,9,7
177,21,3,3,2,0,6,6,4,2,6,7,8,7,9,5,7,4
178,20,3,4,6,5,4,3,2,4,4,5,3,1,8,5,4,3
179,25,7,5,10,5,6,5,9,5,1,3,4,6,4,6,4,4
180,18,4,2,6,5,6,6,6,6,4,4,4,3,4,5,5,2
181,22,2,6,2,3,5,6,3,5,9,6,3,4,9,7,6,4
182,15,3,4,5,4,5,1,2,3,5,6,5,5,2,3,3,2
183,13,3,2,3,2,4,4,3,1,2,2,3,3,5,3,3,4
184,34,9,9,9,2,7,4,7,3,12,10,9,5,9,7,9,5
185,26,7,6,2,3,8,10,5,3,13,11,5,3,9,8,7,3
186,23,8,6,1,5,5,4,4,8,5,6,5,4,3,6,7,2
187,47,18,13,6,4,10,5,4,3,7,13,9,3,7,10,6,6
188,18,5,4,3,4,7,7,2,3,4,6,4,3,4,5,5,4
189,36,7,12,10,9,8,13,5,5,7,12,11,9,16,9,5,5
190,18,4,2,2,5,5,4,2,5,3,3,6,6,3,5,4,5
191,19,4,3,3,6,3,3,4,5,3,4,4,4,2,4,4,3
192,18,4,6,3,6,2,3,3,5,5,1,3,5,4,2,5,3
193,19,5,4,3,1,2,4,5,3,5,2,4,2,7,8,8,4
194,17,4,3,4,4,5,3,5,3,2,4,4,4,3,5,5,4
195,36,8,19,19,5,9,19,13,3,9,14,10,3,11,11,10,5
196,20,2,7,4,2,2,7,4,2,4,8,5,3,8,6,8,10
197,27,16,10,3,2,4,3,4,4,4,5,4,5,3,4,3,5
198,28,11,10,8,6,13,5,2,5,11,6,4,5,11,7,3,5
199,20,5,8,4,5,6,9,7,7,7,3,7,7,3,4,6,5
200,25,4,2,3,3,2,4,6,7,3,4,6,5,7,7,10,4
201,18,5,3,4,5,3,3,5,6,3,3,3,6,5,2,2,5
202,45,8,10,8,11,13,14,14,15,15,12,7,19,8,7,7,23
203,11,5,3,1,3,4,3,3,4,0,1,1,1,1,1,0,1
204,4,2,1,1,1,1,2,2,1,1,1,0,0,0,1,0,0
205,26,1,1,2,4,1,3,6,17,1,3,4,17,3,5,5,13
206,39,14,5,5,7,13,4,11,10,7,6,12,3,4,5,13,7
207,31,6,10,8,3,3,10,7,8,7,13,11,13,6,4,5,8
208,53,7,9,3,4,11,7,8,16,19,10,15,15,17,9,9,18
209,17,6,5,1,2,5,4,3,2,4,5,5,2,4,3,3,3
210,16,3,2,3,3,3,2,3,2,3,3,4,3,4,5,6,5
211,18,3,3,3,4,2,1,2,5,4,3,5,5,4,3,3,5
212,23,4,2,6,4,4,4,3,1,5,5,5,5,6,4,4,4
213,22,2,3,4,4,7,7,4,4,8,6,3,5,4,6,4,4
214,24,6,7,9,7,10,4,9,7,5,3,7,4,4,3,4,4
215,25,2,4,9,8,2,4,9,7,3,7,9,8,3,6,6,4
216,21,4,8,8,2,2,3,7,6,5,9,6,7,4,9,4,3
217,12,4,1,2,1,3,3,2,2,2,3,1,1,5,2,2,2
218,25,5,6,4,4,3,9,10,6,8,12,11,8,5,6,5,4
219,27,7,5,9,8,5,9,5,9,2,8,4,7,3,8,7,6
220,20,9,5,4,4,6,7,7,7,8,8,4,5,7,5,4,5
221,19,6,8,4,4,6,5,3,3,6,5,3,1,5,5,3,2
222,15,2,2,3,5,2,2,4,5,1,1,3,4,1,2,1,3
223,54,8,8,19,22,15,17,20,11,19,17,10,6,19,21,11,6
224,17,6,5,4,3,3,2,3,5,2,3,4,3,2,1,3,3
225,6,1,1,2,2,3,1,2,3,2,1,4,3,4,4,3,0
226,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,57,18,19,18,14,8,13,8,7,11,18,13,6,10,15,16,8
228,24,5,2,2,2,10,6,5,4,5,3,5,8,6,7,9,9
229,12,4,2,2,2,1,1,3,3,1,1,4,4,2,2,4,3
230,28,5,4,4,7,10,7,3,5,4,5,3,5,5,7,10,7
231,21,6,5,4,2,5,7,5,2,6,5,3,3,5,4,2,4
232,18,2,3,2,3,5,4,2,5,4,6,7,2,3,6,7,3
233,21,8,8,4,3,9,6,4,4,3,7,8,9,3,6,5,9
234,17,5,3,4,10,2,3,2,2,2,3,2,2,1,3,3,1
235,22,8,8,5,5,9,2,5,3,8,4,5,4,4,3,3,4
236,5,4,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0
237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
239,82,23,8,18,18,23,10,18,12,17,16,24,20,19,15,21,16
240,42,20,26,15,6,26,16,7,4,18,6,8,2,10,7,8,2
241,27,10,5,1,4,7,4,5,4,6,5,7,4,8,5,4,5
242,21,5,5,8,3,5,5,8,3,9,4,5,4,4,4,3,5
243,15,2,4,2,3,3,2,2,4,3,4,5,5,2,4,3,3
244,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
245,9,0,0,2,7,0,0,1,2,0,0,1,2,1,0,1,1
246,19,4,2,4,8,5,3,6,7,3,3,2,4,3,3,2,5
247,34,8,8,8,21,4,3,6,8,3,3,8,8,2,2,4,5
248,50,4,6,13,12,8,9,14,13,11,13,12,10,13,13,12,16
249,4,1,1,1,0,1,0,0,0,1,0,0,2,1,0,0,3
250,11,1,1,2,1,2,2,4,3,3,3,5,3,2,3,3,4
251,10,2,1,2,1,4,2,1,0,5,4,1,1,3,5,4,4
252,38,15,14,22,20,10,11,11,1,8,10,6,2,5,9,9,2
253,24,9,7,6,3,10,6,7,4,6,2,4,5,4,2,2,5
254,24,5,4,1,7,3,5,5,7,4,4,3,6,4,3,3,4
255,23,6,5,5,3,6,8,8,9,4,6,5,5,4,4,4,4
256,22,7,4,5,4,8,6,4,3,8,6,2,4,9,5,4,3
257,19,3,5,3,3,5,4,5,6,3,3,4,6,9,12,7,7
258,10,1,2,2,3,2,4,3,4,2,2,0,4,1,2,2,2
259,25,4,5,5,6,7,4,4,6,6,2,3,3,6,4,2,5
260,9,1,1,3,3,1,2,2,3,0,3,3,2,1,1,5,2
261,7,6,4,1,0,5,1,1,0,3,0,0,0,1,0,0,0
262,22,7,4,5,3,9,2,5,5,7,6,8,6,5,4,4,2
263,10,1,1,1,0,5,2,2,1,5,4,5,1,3,4,4,3
264,19,5,5,6,3,8,4,5,1,10,5,3,4,6,3,3,3
265,27,2,3,2,5,4,5,7,5,6,5,8,13,8,10,7,11
266,24,3,2,5,4,9,10,9,9,12,7,4,2,6,4,5,4
267,18,3,3,4,5,3,4,4,6,3,4,4,4,2,7,3,1
268,30,6,6,6,4,4,5,6,5,2,4,6,10,6,6,5,4
269,21,8,3,2,1,6,2,2,2,6,3,3,3,11,12,3,2
270,30,9,12,8,7,5,12,10,9,4,6,13,6,3,6,12,4
271,10,2,1,1,3,1,1,1,5,1,1,2,5,1,3,5,5
272,29,8,1,1,1,9,8,4,2,9,7,4,7,9,8,5,5
273,17,1,3,3,1,1,2,1,1,8,8,6,3,3,3,5,5
274,10,0,0,2,1,1,3,3,2,5,5,3,2,5,1,3,3
275,33,12,13,7,9,8,7,12,12,8,8,12,12,5,4,10,7
276,13,3,4,3,4,1,1,1,4,1,1,2,3,3,1,2,3
277,13,1,4,2,3,1,2,3,1,3,3,7,5,2,2,5,4
278,33,5,9,11,16,9,8,9,8,5,4,6,10,5,6,5,6
279,21,9,11,5,2,11,12,9,3,4,8,11,2,6,8,4,2
280,24,3,3,3,6,3,3,3,6,3,3,9,10,8,7,9,7
281,7,0,2,2,1,1,2,2,1,1,3,2,1,3,3,1,1
282,19,2,1,3,3,4,2,2,1,12,2,3,2,11,2,3,5
283,18,3,6,5,5,4,6,5,3,3,4,5,2,2,2,3,3
284,15,3,2,3,3,5,5,5,5,4,3,5,4,1,3,3,3
285,17,2,2,2,1,5,6,4,3,3,8,6,2,4,5,3,2
286,32,10,11,7,6,12,9,5,4,11,10,3,2,7,13,3,3
287,15,2,1,6,7,3,2,3,5,4,1,2,1,4,3,2,1
288,26,2,3,4,11,5,5,2,5,3,8,6,6,3,5,6,5
289,10,1,1,3,2,1,1,4,1,2,2,5,1,3,3,5,5
290,23,6,2,1,4,6,4,5,5,6,5,6,6,7,5,3,3
291,26,10,7,10,8,3,3,8,8,8,9,8,8,5,8,8,6
292,28,7,12,9,5,9,8,7,8,3,4,5,7,4,6,7,7
293,29,7,9,10,9,6,10,5,8,8,11,6,9,12,12,7,10
294,31,8,12,14,10,9,14,8,3,12,12,2,1,6,4,3,4
295,2,2,2,0,0,2,1,0,0,0,1,0,0,0,0,1,0
296,4,2,2,1,1,2,3,3,2,1,1,1,2,1,1,0,0
297,27,3,6,5,5,3,1,5,5,6,3,4,5,10,7,3,5
298,28,6,6,5,5,8,8,2,8,5,11,7,7,5,8,10,9
299,25,7,8,7,4,5,5,4,7,6,4,4,6,6,6,5,2
300,19,5,7,6,5,4,5,4,4,5,5,3,7,4,6,5,4
301,21,4,5,4,6,3,6,6,7,6,5,5,9,4,4,6,7
302,26,10,8,5,6,5,6,3,3,3,7,1,2,4,8,3,4
303,17,2,4,5,5,2,1,3,2,3,3,3,3,3,6,3,2
304,17,7,7,4,2,4,6,5,6,2,6,5,2,0,6,3,4
305,35,6,5,8,14,6,6,10,14,6,10,10,12,8,11,9,11
306,15,7,3,2,1,7,2,2,1,7,1,1,1,3,1,2,2
307,63,13,11,9,5,13,10,9,8,8,11,9,9,13,16,20,16
308,16,5,3,3,3,2,4,5,5,6,3,3,3,7,6,5,2
309,10,2,2,2,1,4,3,4,2,3,2,3,2,1,2,2,4
310,7,3,3,3,3,3,1,1,2,2,0,0,0,2,2,2,2
311,12,1,2,2,3,1,1,2,2,2,1,1,1,3,2,2,3
312,18,11,3,1,1,9,8,6,1,3,5,5,1,3,4,6,6
313,26,5,13,10,2,2,4,8,3,6,11,6,2,5,7,3,2
314,23,6,6,7,3,7,3,8,3,5,5,7,6,5,5,4,2
315,23,5,6,6,9,8,9,7,10,4,4,6,9,8,8,8,6
316,24,3,2,5,5,5,3,6,6,4,4,5,4,11,10,10,7
317,43,4,8,13,12,4,4,14,17,5,12,18,21,8,14,11,11
318,18,3,4,5,10,2,2,3,8,4,4,4,1,1,2,4,5
319,23,2,2,3,4,1,1,2,4,2,5,8,15,5,5,5,11
320,28,5,5,4,3,8,9,3,3,7,10,4,3,13,15,5,5
321,16,6,5,5,2,4,3,3,4,3,3,5,5,5,5,5,3
322,32,10,7,13,8,8,6,7,5,6,2,3,2,5,2,1,3
323,20,5,5,5,5,6,3,5,4,2,2,3,3,3,4,6,4
324,17,5,4,3,4,4,5,3,8,4,4,4,6,3,3,5,4
325,90,30,30,12,6,33,16,9,10,26,33,13,7,42,29,4,3
326,17,5,6,5,5,4,5,5,5,3,2,1,3,5,3,1,2
327,15,6,3,1,2,6,7,8,7,2,1,3,2,1,4,3,2
328,17,2,1,2,1,7,3,2,2,4,4,5,3,3,6,7,3
329,19,4,4,3,10,2,4,10,11,1,3,7,5,2,3,5,5
330,34,5,3,6,6,7,4,7,7,10,6,8,9,9,12,9,9
331,22,2,7,6,1,8,12,5,2,8,7,6,5,6,5,4,2
332,32,5,2,5,3,10,6,7,3,18,7,9,6,18,14,5,8
333,31,8,8,9,9,4,5,10,11,8,9,7,10,4,4,6,3
334,24,5,6,4,4,8,8,5,7,9,4,6,5,7,6,5,6
335,18,3,4,3,6,6,4,5,9,4,2,2,5,5,3,3,2
336,27,8,6,5,7,5,5,4,3,4,3,4,8,5,2,4,9
337,12,5,3,3,2,4,2,3,4,5,3,2,3,4,4,3,3
338,18,5,7,6,5,4,6,5,5,4,7,5,5,3,5,3,8
339,14,4,4,3,4,3,2,4,5,4,3,4,4,3,2,3,4
340,44,15,17,8,4,11,19,15,2,19,20,8,3,19,17,7,2
341,27,6,7,5,14,5,5,2,14,4,3,4,7,2,7,6,8
342,25,7,5,10,8,5,5,6,4,8,3,3,4,7,7,6,4
343,24,8,6,5,6,3,2,2,5,4,3,3,3,2,3,8,8
344,45,3,9,10,17,9,12,8,9,9,6,6,5,7,5,6,4
345,12,0,0,2,2,2,2,2,2,5,4,3,4,3,4,3,4
346,6,1,2,0,3,3,1,2,3,3,3,2,2,0,1,2,2
347,21,3,1,2,12,2,2,5,7,2,3,5,5,3,3,4,4
348,32,13,14,11,18,7,4,11,18,4,6,11,15,2,5,17,17
349,16,1,1,0,6,1,1,6,7,1,1,7,8,2,1,3,8
350,16,6,2,2,1,4,3,4,2,6,1,2,3,8,4,4,4
351,28,9,5,3,3,8,6,6,4,9,9,3,4,4,9,7,5
352,26,7,7,8,6,6,6,6,3,6,4,7,5,6,6,7,7
353,23,2,5,4,3,2,3,4,3,6,3,6,4,8,6,10,6
354,26,7,5,6,3,10,10,8,9,10,8,8,7,4,8,6,3
355,30,5,4,8,10,8,4,4,2,7,7,11,11,5,5,5,11
356,24,2,5,6,7,1,4,6,7,2,4,10,7,4,2,4,6
357,30,6,13,12,7,4,8,12,13,3,4,6,11,2,3,6,8
358,27,3,3,5,4,4,3,5,6,2,4,7,6,5,13,15,14
359,21,10,12,5,5,4,7,5,2,6,3,2,2,4,5,2,1
360,13,3,1,2,6,3,2,2,3,3,3,3,3,2,2,2,4
361,11,1,3,5,5,2,2,4,5,3,3,3,5,1,2,4,4
362,13,2,1,2,1,2,1,2,0,5,2,1,3,5,6,2,4
363,28,2,2,5,15,3,4,5,5,3,6,8,4,4,6,9,4
364,34,2,5,16,16,5,8,14,15,5,6,21,7,7,6,22,4
365,15,3,2,2,1,5,1,2,3,8,10,4,1,7,11,5,3
366,26,5,6,6,5,6,5,6,7,5,5,4,4,7,5,5,6
367,26,3,8,8,5,10,9,5,5,10,5,8,4,7,8,4,3
368,28,3,3,3,3,5,4,4,3,5,5,8,10,3,4,9,8
369,30,4,7,7,6,3,1,2,2,6,5,3,13,5,6,8,11
370,22,4,7,4,3,6,6,3,5,8,2,3,5,7,3,3,6
371,33,7,10,7,8,9,8,5,8,7,10,4,6,13,11,5,5
372,22,1,2,3,5,2,3,2,3,5,4,3,2,10,8,8,8
373,35,11,21,16,10,6,9,14,15,3,4,8,9,4,2,5,9
374,26,1,2,1,4,6,5,6,5,10,9,5,7,8,11,13,11
375,36,7,11,8,10,7,7,4,9,6,10,8,9,6,3,2,5
376,34,10,8,11,9,10,4,3,5,7,8,6,4,5,7,9,4
377,55,15,15,23,21,13,15,7,16,3,17,7,9,10,17,6,14
378,69,15,19,16,8,15,16,9,10,5,17,13,5,18,26,17,12
379,50,10,6,6,13,11,11,11,14,9,12,8,17,17,11,12,12
380,19,7,4,5,3,4,4,3,3,2,2,5,6,4,3,4,2
381,17,2,2,4,2,4,2,4,3,6,4,5,5,2,2,7,6
