id,ZIV5_pocet,ZIV5_1,ZIV5_2,ZIV5_3,ZIV5_4,ZIV5_5,ZIV5_6,ZIV5_7,ZIV5_8,ZIV5_9,ZIV5_10,ZIV5_11,ZIV5_12,ZIV5_13,ZIV5_14,ZIV5_15,ZIV5_16
1,61,12,15,15,9,8,3,7,21,4,10,24,20,11,19,26,20
2,87,26,19,17,12,37,17,16,6,20,22,25,11,16,15,13,11
3,58,26,9,13,9,22,8,12,10,27,16,9,11,24,11,7,8
4,8,1,1,1,0,1,2,2,1,2,2,2,2,2,2,4,2
5,64,23,17,12,3,23,14,18,7,18,7,17,11,18,12,15,13
6,2,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1
7,7,0,2,1,1,1,3,4,1,0,4,5,0,0,3,5,1
8,3,0,1,1,0,1,1,1,1,1,2,0,1,1,2,2,1
9,6,1,0,2,4,1,0,1,3,1,1,0,1,0,1,0,1
10,95,46,48,35,24,25,20,19,11,15,26,16,7,28,18,9,6
11,54,20,6,7,5,9,6,5,4,8,8,6,16,5,16,12,14
12,56,10,9,18,11,21,15,28,26,20,25,28,8,14,14,10,3
13,25,11,10,3,4,15,4,2,6,2,4,6,6,3,5,2,1
14,19,5,4,2,4,7,3,3,3,2,3,2,3,2,4,4,2
15,2,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0
16,16,1,6,4,5,3,5,3,5,3,5,7,5,0,2,9,8
17,64,27,27,19,5,36,29,28,7,7,20,30,7,3,34,29,4
18,48,16,18,11,11,8,13,7,2,11,11,7,3,11,12,3,4
19,46,13,24,9,7,3,10,12,21,3,5,13,16,4,11,14,15
20,21,2,13,12,7,3,3,2,2,5,3,1,0,2,2,2,1
21,14,7,2,2,2,3,3,3,2,2,4,4,1,1,1,1,1
22,9,3,3,1,2,2,2,2,3,0,1,1,3,1,1,2,3
23,18,6,6,5,3,4,3,3,6,2,1,3,6,2,2,5,7
24,8,0,0,2,2,1,2,1,0,3,1,2,3,4,6,6,2
25,11,1,0,0,1,2,1,1,2,3,3,3,2,2,1,1,4
26,12,1,1,2,2,3,3,2,1,1,0,1,1,3,3,5,5
27,9,3,3,3,4,1,2,2,3,2,6,6,6,7,5,0,2
28,7,3,3,1,0,2,2,2,1,2,2,2,1,2,2,1,1
29,12,1,0,0,4,2,1,1,4,1,1,1,8,0,1,2,8
30,26,7,9,1,2,7,5,1,2,8,2,2,2,9,2,2,3
31,23,2,2,2,4,2,3,4,5,2,2,4,3,9,7,5,9
32,48,4,4,4,2,4,9,12,11,6,14,13,11,21,16,15,14
33,12,1,2,5,7,1,2,6,8,1,2,2,7,1,1,1,4
34,99,21,37,45,27,13,16,22,25,19,17,19,22,20,7,6,5
35,93,12,39,15,4,42,41,9,9,20,4,9,12,10,9,16,24
36,27,4,4,2,3,5,2,5,6,7,5,5,5,13,7,7,4
37,56,6,14,33,30,3,10,17,20,5,10,18,16,5,7,11,8
38,16,4,1,2,4,4,2,5,7,1,4,4,4,3,4,3,3
39,12,7,6,4,2,6,3,3,2,4,6,3,0,4,2,0,1
40,15,1,1,7,5,1,4,6,3,1,4,4,3,2,3,7,3
41,21,10,2,6,4,4,4,5,4,2,4,2,2,2,5,4,3
42,41,9,12,13,13,6,13,11,10,14,18,15,10,11,9,9,4
43,21,15,12,6,8,6,7,7,3,1,1,1,1,1,2,3,3
44,16,2,1,2,2,1,1,0,1,0,1,1,2,2,2,7,9
45,25,2,0,1,5,3,1,1,11,3,2,0,11,8,7,2,6
46,55,7,1,1,5,8,4,3,10,14,12,12,11,14,12,14,14
47,10,3,2,0,2,4,2,1,1,4,3,1,0,6,4,1,1
48,6,1,1,2,3,1,1,1,1,2,2,1,1,1,2,2,3
49,26,4,4,3,21,1,1,0,7,0,1,1,1,1,0,1,2
50,134,42,35,30,36,16,10,35,27,29,19,37,42,27,10,30,29
51,51,12,9,4,4,6,9,8,6,21,23,18,3,19,26,21,11
52,39,3,18,15,7,9,12,9,7,4,12,12,10,6,14,6,13
53,19,4,5,4,4,4,6,5,10,4,7,7,5,2,6,4,2
54,20,4,4,6,5,7,7,6,6,6,6,3,7,4,3,4,4
55,20,2,3,8,6,2,4,6,4,4,7,5,5,10,6,4,4
56,29,3,5,8,8,5,6,5,7,6,9,7,3,6,6,6,2
57,27,5,8,8,9,7,4,5,7,9,10,5,5,4,7,9,2
58,10,3,1,1,2,2,2,2,2,1,2,2,1,2,1,2,3
59,12,2,3,2,3,3,6,5,5,3,3,4,3,3,2,3,5
60,116,10,12,31,62,16,13,31,48,25,20,29,31,24,21,27,12
61,66,3,7,9,3,15,27,27,5,32,24,24,8,46,29,21,21
62,82,3,16,29,9,13,15,34,18,21,17,23,16,20,13,21,12
63,73,6,10,10,8,7,10,7,28,11,11,28,38,20,18,25,32
64,58,8,5,7,6,29,3,5,5,36,10,7,13,24,5,8,14
65,29,9,13,9,6,12,12,14,8,9,11,11,5,2,1,2,2
66,33,9,9,10,3,6,4,16,13,12,8,10,7,10,10,6,8
67,27,6,2,6,4,4,6,6,6,6,2,6,6,8,9,9,2
68,18,3,6,4,2,7,8,7,8,9,4,4,3,9,5,4,3
69,99,19,14,11,15,19,16,7,22,23,17,16,23,31,23,31,36
70,13,4,5,2,0,4,4,2,3,7,3,2,4,7,1,2,3
71,60,13,11,9,11,7,11,11,40,7,8,21,36,2,4,17,19
72,8,3,2,5,3,4,4,3,1,2,2,1,0,0,0,0,0
73,25,8,9,8,10,9,10,10,7,3,2,6,4,4,2,4,4
74,32,14,9,2,3,7,9,4,2,10,10,5,4,6,9,10,4
75,18,2,1,2,2,5,6,2,3,6,7,5,9,6,3,4,1
76,37,5,6,8,14,24,19,12,12,24,24,16,10,5,6,11,8
77,127,46,38,19,35,35,21,30,21,23,9,41,31,28,19,43,16
78,8,1,3,3,0,2,3,3,1,1,1,2,2,1,1,1,4
79,39,5,6,8,9,10,13,15,12,16,9,7,11,13,15,16,9
80,25,7,4,0,3,11,5,2,2,12,5,4,7,13,17,3,3
81,11,1,0,1,5,1,0,0,6,1,0,3,6,1,0,6,4
82,10,1,4,3,2,0,4,1,1,0,4,2,1,2,5,0,1
83,20,1,1,2,3,1,1,2,2,0,1,5,8,2,3,14,11
84,86,30,28,27,36,21,28,8,12,19,13,25,26,16,19,25,26
85,31,6,5,7,8,9,5,7,4,6,5,7,7,4,6,6,5
86,25,6,5,7,3,8,4,5,7,4,8,8,6,4,3,5,4
87,20,2,2,1,4,7,4,3,4,7,6,5,3,6,8,4,4
88,47,5,5,14,10,7,4,11,17,14,5,11,18,14,10,15,18
89,35,4,7,9,3,10,6,9,4,11,3,10,8,14,12,10,13
90,45,10,4,9,8,11,14,8,5,18,14,3,7,18,15,13,8
91,36,3,2,6,7,7,5,4,5,7,11,8,4,12,18,14,6
92,28,10,4,4,6,11,8,2,4,7,8,2,4,9,8,5,6
93,45,10,7,10,10,6,5,5,10,12,10,7,9,8,8,7,8
94,32,9,5,6,5,10,4,7,7,9,5,4,3,8,3,10,10
95,37,6,12,13,8,10,10,8,8,12,6,4,5,5,6,6,12
96,81,25,23,8,12,29,30,12,7,20,38,35,35,11,17,12,20
97,99,12,17,18,17,12,9,5,16,26,15,10,16,32,30,14,29
98,35,12,7,3,1,21,7,2,1,22,10,3,2,29,12,5,5
99,9,2,2,2,2,2,0,1,2,1,2,1,2,3,1,0,0
100,46,6,10,7,11,7,8,11,17,5,6,5,15,2,9,11,18
101,78,27,14,26,23,20,21,11,29,23,40,34,31,16,17,16,11
102,33,16,4,11,4,14,9,10,4,7,9,5,3,9,5,3,5
103,10,3,2,2,4,3,4,2,1,1,4,2,0,5,4,1,1
104,16,5,3,1,4,2,3,3,1,1,3,1,1,1,4,2,2
105,52,14,11,12,8,6,8,3,8,21,20,10,4,17,16,13,6
106,19,5,6,7,4,10,7,5,2,5,8,4,4,6,8,6,6
107,45,13,13,12,19,13,13,14,14,6,9,12,15,9,11,10,13
108,68,3,6,7,7,26,24,22,12,45,43,43,31,44,13,11,21
109,54,19,15,13,10,20,14,26,23,17,2,4,11,15,12,5,12
110,81,12,18,18,29,14,12,24,38,10,13,32,26,14,6,25,14
111,87,17,17,25,16,35,28,22,16,31,17,15,16,34,25,15,14
112,57,22,17,10,8,24,13,7,4,13,11,7,11,8,7,10,12
113,80,9,10,22,19,6,16,29,14,2,17,34,20,16,26,29,21
114,68,29,16,9,15,24,12,7,11,10,13,10,11,12,10,11,14
115,80,15,18,28,17,9,17,14,15,14,29,19,22,6,14,20,39
116,130,29,46,28,25,33,26,27,33,33,25,13,16,22,23,29,14
117,114,19,37,44,25,34,46,47,51,36,30,12,38,21,40,27,44
118,64,19,6,4,8,24,14,8,5,30,27,19,10,12,17,11,10
119,19,4,1,4,3,5,2,4,3,4,2,3,3,4,4,6,4
120,11,2,1,1,4,2,1,1,4,2,1,1,2,2,0,1,2
121,44,6,5,7,8,8,3,9,8,11,22,28,30,10,14,10,11
122,42,5,7,3,10,6,12,11,20,15,25,18,19,11,20,11,5
123,76,14,15,11,15,13,21,22,16,12,28,21,13,14,26,18,7
124,64,26,16,15,12,10,8,16,12,12,9,11,18,6,4,15,18
125,30,10,9,3,2,18,10,4,2,13,11,4,3,5,11,3,2
126,60,29,10,18,11,24,14,12,9,12,10,15,11,15,12,13,13
127,84,13,19,11,22,7,24,31,30,11,22,26,22,15,21,26,21
128,150,30,30,39,19,37,36,39,24,48,57,45,31,51,49,38,28
129,56,19,21,15,7,22,12,19,8,14,9,20,13,10,7,10,11
130,23,2,3,8,5,1,6,11,5,5,10,6,0,7,6,5,5
131,34,7,9,13,12,7,5,11,7,8,6,7,8,9,15,15,16
132,8,2,1,1,2,2,0,1,1,3,1,1,1,1,2,1,2
133,8,1,1,2,2,1,2,2,1,2,2,3,3,2,2,5,5
134,17,4,4,2,3,8,9,5,3,8,5,4,2,6,3,6,4
135,48,9,5,7,14,12,7,12,12,6,10,13,10,7,12,10,22
136,33,3,14,12,5,5,12,12,6,3,3,6,8,12,15,13,11
137,48,17,17,6,4,14,14,3,9,10,5,7,8,4,6,6,5
138,40,17,7,11,6,6,6,9,11,6,4,8,9,6,8,11,13
139,55,13,18,13,9,15,16,8,8,11,4,5,10,8,11,11,17
140,48,14,12,5,13,7,10,6,14,7,16,9,26,18,20,9,13
141,53,13,11,3,3,11,7,3,4,11,11,4,3,17,15,11,10
142,62,10,15,8,14,13,19,11,13,6,8,13,13,26,25,28,17
143,31,3,8,2,1,4,8,2,2,10,9,3,2,15,11,1,1
144,18,1,7,1,2,1,7,1,2,4,9,1,4,9,6,2,9
145,51,22,20,18,14,10,17,18,19,15,10,4,7,16,10,9,11
146,57,3,7,8,9,9,8,8,11,12,16,20,20,14,16,10,14
147,248,68,53,62,51,51,44,76,44,50,55,70,48,34,43,57,56
148,71,10,9,12,13,12,14,13,19,19,20,15,15,16,17,18,10
149,45,8,10,5,2,10,13,11,14,10,14,5,4,11,15,9,7
150,15,5,4,3,3,5,4,4,3,4,4,2,5,1,3,2,8
151,16,2,1,4,5,1,4,5,6,2,5,3,2,2,7,3,2
152,21,6,7,5,3,8,7,2,4,5,5,3,3,4,3,1,4
